seoul-1988,1988-10-02T11:00:00.000+01:00,1988-09-17T00:00:00.000+02:00,Republic of Korea,Seoul 1988,Summer,1988
calgary-1988,1988-02-28T04:00:00.000+01:00,1988-02-13T16:00:00.000+01:00,Canada,Calgary 1988,Winter,1988
los-angeles-1984,1984-08-12T21:00:00.000+02:00,1984-07-28T17:00:00.000+02:00,United States,Los Angeles 1984,Summer,1984
sarajevo-1984,1984-02-19T20:00:00.000+01:00,1984-02-08T08:00:00.000+01:00,Yugoslavia,Sarajevo 1984,Winter,1984
moscow-1980,1980-08-03T20:00:00.000+02:00,1980-07-19T07:00:00.000+02:00,USSR,Moscow 1980,Summer,1980
lake-placid-1980,1980-02-24T02:00:00.000+01:00,1980-02-13T14:00:00.000+01:00,United States,Lake Placid 1980,Winter,1980
montreal-1976,1976-08-01T00:00:00.000+02:00,1976-07-17T14:00:00.000+02:00,Canada,Montreal 1976,Summer,1976
innsbruck-1976,1976-02-15T20:00:00.000+01:00,1976-02-04T08:00:00.000+01:00,Austria,Innsbruck 1976,Winter,1976
munich-1972,1972-09-11T20:00:00.000+01:00,1972-08-26T08:00:00.000+01:00,Federal Republic of Germany,Munich 1972,Summer,1972
sapporo-1972,1972-02-13T12:00:00.000+01:00,1972-02-03T00:00:00.000+01:00,Japan,Sapporo 1972,Winter,1972
mexico-city-1968,1968-10-28T05:00:00.000+01:00,1968-10-12T17:00:00.000+01:00,Mexico,Mexico City 1968,Summer,1968
grenoble-1968,1968-02-18T20:00:00.000+01:00,1968-02-06T08:00:00.000+01:00,France,Grenoble 1968,Winter,1968
tokyo-1964,1964-10-24T12:00:00.000+01:00,1964-10-10T00:00:00.000+01:00,Japan,Tokyo 1964,Summer,1964
innsbruck-1964,1964-02-09T20:00:00.000+01:00,1964-01-29T08:00:00.000+01:00,Austria,Innsbruck 1964,Winter,1964
rome-1960,1960-09-11T20:00:00.000+01:00,1960-08-25T08:00:00.000+01:00,Italy,Rome 1960,Summer,1960
squaw-valley-1960,1960-02-28T05:00:00.000+01:00,1960-02-18T17:00:00.000+01:00,United States,Squaw Valley 1960,Winter,1960
melbourne-1956,1956-12-08T11:00:00.000+01:00,1956-11-21T23:00:00.000+01:00,"Australia, Sweden",Melbourne 1956,Summer,1956
cortina-d-ampezzo-1956,1956-02-05T20:00:00.000+01:00,1956-01-26T08:00:00.000+01:00,Italy,Cortina d'Ampezzo 1956,Winter,1956
helsinki-1952,1952-08-03T08:00:00.000+01:00,1952-07-19T08:00:00.000+01:00,Finland,Helsinki 1952,Summer,1952
oslo-1952,1952-02-25T20:00:00.000+01:00,1952-02-14T08:00:00.000+01:00,Norway,Oslo 1952,Winter,1952
london-1948,1948-08-14T20:00:00.000+01:00,1948-07-29T08:00:00.000+01:00,Great Britain,London 1948,Summer,1948
st-moritz-1948,1948-02-08T20:00:00.000+01:00,1948-01-30T08:00:00.000+01:00,Switzerland,St. Moritz 1948,Winter,1948
berlin-1936,1936-08-16T20:00:00.000+01:00,1936-08-01T08:00:00.000+01:00,Germany,Berlin 1936,Summer,1936
garmisch-partenkirchen-1936,1936-02-16T20:00:00.000Z,1936-02-06T08:00:00.000Z,Germany,Garmisch-Partenkirchen 1936,Winter,1936
los-angeles-1932,1932-08-14T20:00:00.000+01:00,1932-07-30T17:00:00.000+01:00,United States,Los Angeles 1932,Summer,1932
lake-placid-1932,1932-02-15T18:00:00.000Z,1932-02-04T13:00:00.000Z,United States,Lake Placid 1932,Winter,1932
amsterdam-1928,1928-08-12T20:00:00.000+01:00,1928-05-17T08:00:00.000+01:00,Netherlands,Amsterdam 1928,Summer,1928
st-moritz-1928,1928-02-19T08:00:00.000Z,1928-02-11T08:00:00.000Z,Switzerland,St. Moritz 1928,Winter,1928
paris-1924,1924-07-27T20:00:00.000+01:00,1924-05-04T08:00:00.000+01:00,France,Paris 1924,Summer,1924
chamonix-1924,1924-02-05T20:00:00.000Z,1924-01-25T08:00:00.000Z,France,Chamonix 1924,Winter,1924
antwerp-1920,1920-09-12T20:00:00.000+01:00,1920-04-20T08:00:00.000+01:00,Belgium,Antwerp 1920,Summer,1920
stockholm-1912,1912-07-27T20:00:00.000Z,1912-05-05T08:00:00.000Z,Sweden,Stockholm 1912,Summer,1912
london-1908,1908-10-31T20:18:21.000+00:09,1908-04-27T08:09:21.000+00:09,Great Britain,London 1908,Summer,1908
st-louis-1904,1904-11-24T02:09:21.000+00:09,1904-07-01T14:09:21.000+00:09,United States,St. Louis 1904,Summer,1904
paris-1900,1900-10-28T20:00:00.000+00:09,1900-05-14T09:00:00.000+00:09,France,Paris 1900,Summer,1900
athens-1896,1896-04-15T11:49:00.000+00:09,1896-04-06T11:48:00.000+00:09,Greece,Athens 1896,Summer,1896
