147,Arnaud Casquette,Mauritius,Long jump,2005,Cannabis,6 months
148,Víctor Castillo,Venezuela,Long jump,20062011,FurosemideMethylhexaneamine,2 years4 years
149,Recep Çelik,Turkey,Race walking,2012,Metenolone,2 years
150,Jolanda Čeplak,Slovenia,Middle distance,2007,EPO,2 years
151,Dwain Chambers,Great Britain,Sprinting,2003,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",2 years
152,Hafid Chani,Morocco,Long distance,2011,Biological passport,4 years
153,Jamel Chatbi,Morocco,Steeplechase,2009,Clenbuterol,3 years
154,Jani Chathurangani Silva,Sri Lanka,Sprinting,2006,Nandrolone,2 years
155,David Chaussinand,France,Hammer throw,23 May 2002 24 June 2002,Metenolone Clenbuterol,3 years
156,Mouhcine Cheaouri,Morocco,Pole vault,2016,Stanozolol,4 years
157,Emily Chebet,Kenya,"Long distance, cross country",2015,Furosemide,4 years
158,Cristiana Checchi,Italy,Shot put,2003,Caffeine,Public warning
159,Viktor Chegin,Russia,Coach,"","Administration of a prohibited substance, complicity",Life ban
160,Abdelatif Chemlal,Morocco,Steeplechase,2004,Norandrosterone,2 years
161,Flomena Chepchirchir,Kenya,Marathon,2014,"",6 months
162,Pamela Chepchumba,Kenya,Cross country running,2003,EPO,2 years
163,Susan Chepkemei,Kenya,Long distance,2007,Salbutamol,1 year
164,Svetlana Cherkasova,Russia,Middle distance,2007,Fraudulent substitution of urine,33 months
165,Lada Chernova,Russia,Javelin throw,2008 2013,Metenolone Bromantane,2 years Life ban
166,Tatyana Chernova,Russia,Heptathlon,2009,Oral Turinabol,2 years
167,Lydia Cheromei,Kenya,Long distance,2005,Clomiphene,2 years
168,Damu Cherry,United States,Hurdling,2003,Norandrosterone,2 years
169,Silvano Chesani,Italy,High jump,2007,Formoterol,Public warning
170,Christophe Cheval,France,Sprinting,2001,Nandrolone,2 years
171,Dimitrios Chondrokoukis,Greece,High jump,2012,Stanozolol,2 years
172,Fouad Chouki,France,Middle distance,2003,EPO,2 years
